device_type,device_index,temp_avg,traditional_mean,traditional_std,sqrt_mean,sqrt_std,difference,percent_diff
NMOS,1,100.0,-0.00019366300503214083,0.00014732680466936023,-0.00022953865930902908,6.207529503915065e-05,-3.587565427688825e-05,18.524784468223153
NMOS,1,127.5,-0.00031619152916890104,1.5937158157959548e-05,-0.00042043123443156745,8.907710119078707e-05,-0.00010423970526266641,32.967266876711406
NMOS,1,162.5,-0.00036793591032097735,3.041827278597954e-06,-0.000322380287905722,8.769858689846693e-05,4.555562241525537e-05,-12.381401526019538
NMOS,1,202.5,-0.000473802546320244,8.090472935441341e-05,-0.00044629288938980913,2.0149095713116587e-05,2.7509656930434852e-05,-5.806143749983359
NMOS,1,257.5,-0.0005028081492690725,5.0051106386610424e-05,-0.0005489313870882591,1.6366972504177193e-05,-4.612323781918667e-05,9.173128535453452
NMOS,2,100.0,-0.00022851673293735795,2.1907744276265658e-05,-0.00030908855316412747,8.00182963014532e-05,-8.057182022676952e-05,35.25860850148608
NMOS,2,127.5,-0.00032085699865395554,1.3749438926968525e-05,-0.00035267846787513603,5.6024235860974825e-05,-3.1821469221180484e-05,9.917648471024924
NMOS,2,162.5,-0.00041182023239055843,4.707766929213176e-06,-0.000380373193916418,3.6293092581871314e-05,3.144703847414042e-05,-7.636108185261999
NMOS,2,202.5,-0.00035730215878117613,0.00010010646907066325,-0.000431734284586285,6.945539466841289e-05,-7.443212580510888e-05,20.83170335690404
NMOS,2,205.0,-0.000531968048134748,,-0.0004533695735952516,,7.859847453949638e-05,-14.775036736715307
NMOS,2,257.5,-0.0006116265474089974,6.335311626969278e-05,-0.0005643882947534136,9.462282983408972e-06,4.723825265558375e-05,-7.723381670677437
NMOS,3,100.0,-0.0002095242027639974,4.2258658769180524e-05,-0.00023422646188656697,6.73914326549878e-05,-2.4702259122569574e-05,11.789692453999482
NMOS,3,127.5,-0.00038250847569536303,2.7653059700423537e-05,-0.00035223197571683686,3.556908932139432e-05,3.027649997852617e-05,-7.9152494395023405
NMOS,3,162.5,-0.00040587350127057383,1.7988749732589252e-05,-0.0004518990599710973,3.6126553276567064e-05,-4.602555870052345e-05,11.339877709789363
NMOS,3,202.5,-0.00044755656196180857,1.3904523996343404e-05,-0.0004357254730252954,1.084959331936541e-06,1.1831088936513172e-05,-2.643484632345254
NMOS,3,240.0,-0.0005442621865895755,,-0.0005100271044978046,,3.4235082091770854e-05,-6.290181999652182
NMOS,3,257.5,-0.0005391248764816499,1.6945227657802936e-05,-0.0005507929454279259,3.1431206917605145e-05,-1.1668068946275932e-05,2.164260907866505
NMOS,4,100.0,-0.0003476893951498638,2.127279373777493e-05,-0.000377226627039552,3.6469869345466084e-05,-2.953723188968817e-05,8.495292724403285
NMOS,4,127.5,-0.00039534575616292445,1.7764482743305902e-05,-0.0004638843042128501,4.1937830296918955e-05,-6.853854804992563e-05,17.336356083630367
NMOS,4,162.5,-0.0005240243221727147,1.3964294444205727e-05,-0.0005639927853214178,4.968393098948695e-05,-3.9968463148703126e-05,7.627215275616502
NMOS,4,202.5,-0.0005471951817669077,5.8108650356282256e-05,-0.0006156686017947208,5.745289546514221e-05,-6.847342002781309e-05,12.513527587489094
NMOS,4,257.5,-0.0006716391627805818,8.037770380564777e-05,-0.0006576106055325992,1.7658235986508817e-05,1.4028557247982589e-05,-2.0887044748707706
PMOS,1,100.0,0.0006317933180523503,5.009622362189722e-05,0.0005790251239789009,2.562641889545904e-05,-5.276819407344939e-05,-8.352129179858947
PMOS,1,127.5,0.0006990358239599547,7.854548115926807e-05,0.0005494043009503904,0.00011839060130607188,-0.00014963152300956426,-21.405415556805014
PMOS,1,162.5,0.0008221146938753626,6.220563044472815e-05,0.0007542448592062499,8.984344167277444e-05,-6.786983466911271e-05,-8.25551898959273
PMOS,1,202.5,0.0004199118520318153,0.00042696478926195354,0.0012689825091114911,0.001023715938201509,0.0008490706570796758,202.2021176519077
PMOS,1,257.5,0.0008142123597898605,0.00015939508413979656,0.0004536923552379976,0.0004623652820982803,-0.00036052000455186287,-44.278375317823624
PMOS,2,100.0,0.0006747674818489419,2.1559875208167632e-05,0.0006408864724564207,7.663544847926233e-05,-3.3881009392521194e-05,-5.021138437152197
PMOS,2,127.5,0.0006354767762557339,8.437666211255419e-05,0.0006145517432721729,0.00010735983763268878,-2.0925032983560958e-05,-3.2928084495632506
PMOS,2,162.5,0.0008182618307302175,3.7610879356565314e-05,0.0008345634613885308,7.986405202942248e-05,1.6301630658313256e-05,1.9922266988508641
PMOS,2,202.5,0.000746511602676608,6.344258418714524e-05,0.0015542608139796482,0.0013578357978434562,0.0008077492113030402,108.20316903405995
PMOS,2,257.5,0.0008013167852310489,4.826896255577999e-05,0.000495253057068411,0.0007233670981676751,-0.0003060637281626379,-38.195097594815586
PMOS,3,100.0,0.0006762674458725823,2.530395679266314e-06,0.0006162459248145393,5.186576080508009e-06,-6.002152105804301e-05,-8.87541185434377
PMOS,3,127.5,0.0006686250812688899,0.00010991066961439655,0.0006540856259967254,7.723166182841631e-05,-1.4539455272164522e-05,-2.174530342860027
PMOS,3,162.5,0.0007649990254486291,5.2033506081033927e-05,0.0008088814293955051,7.849808188225553e-05,4.388240394687592e-05,5.736269261407404
PMOS,3,202.5,0.0007567293596214442,2.073464386861727e-05,0.0007380233891438168,2.783848922574713e-05,-1.870597047762745e-05,-2.4719498774284587
PMOS,3,257.5,0.0007399652529565669,9.160913299206279e-06,0.0007675367915914925,3.805351574734267e-06,2.7571538634925613e-05,3.726058558123128
PMOS,4,100.0,0.0009755896354574966,1.2883941732855231e-05,0.000911785717769048,4.2908410481122606e-05,-6.380391768844864e-05,-6.540036442528235
PMOS,4,127.5,0.0008600617953962889,0.00010955103267019735,0.0008798200510325405,0.0001321706468762211,1.975825563625157e-05,2.297306512393984
PMOS,4,162.5,0.0009329415261768876,5.384231234689593e-05,0.000959838077403594,3.988234659016199e-05,2.689655122670642e-05,2.8829836031552936
PMOS,4,202.5,0.0008241008973556381,7.854541068320108e-05,0.0010363716171686178,0.0002843031466340301,0.0002122707198129797,25.757855681763075
PMOS,4,257.5,0.0007793744187870463,4.177115109935233e-05,0.0008223894285685285,1.8934399892746123e-05,4.3015009781482245e-05,5.519171369317874
