,,vth_diff_V,vth_diff_V,vth_diff_V,vth_diff_percent,vth_diff_percent
,,mean,std,count,mean,std
vd_V,device,,,,,
0.1,nmos,-0.1481,0.0143,59,-23.9947,3.2801
0.1,pmos,0.2679,0.0396,65,36.468,6.2116
0.2,nmos,-0.1666,0.0147,59,-25.5538,3.1276
0.2,pmos,0.2678,0.0398,65,36.359,6.1827
0.3,nmos,-0.187,0.0171,59,-27.5801,3.2118
0.3,pmos,0.2655,0.039,65,36.0375,5.9973
0.4,nmos,-0.2058,0.0222,59,-29.5356,3.5063
0.4,pmos,0.2599,0.0367,65,35.4681,5.7949
0.5,nmos,-0.2189,0.028,59,-30.8854,3.8671
0.5,pmos,0.253,0.035,65,34.8059,5.6194
0.6,nmos,-0.2284,0.0336,59,-31.9047,4.2407
0.6,pmos,0.244,0.0335,65,33.9575,5.4797
0.7000000000000001,nmos,-0.2325,0.0351,59,-32.3773,4.3075
0.7000000000000001,pmos,0.2256,0.0278,65,32.2025,5.0728
0.8,nmos,-0.2338,0.036,59,-32.6217,4.4249
0.8,pmos,0.2057,0.0226,65,30.2506,4.7217
0.9,nmos,-0.2336,0.0357,59,-32.7086,4.3982
0.9,pmos,0.183,0.0184,65,27.9469,4.4291
1.0,nmos,-0.2331,0.0361,59,-32.7488,4.459
1.0,pmos,0.1591,0.0152,65,25.5242,4.211
1.1,nmos,-0.2336,0.0357,59,-32.9172,4.4009
1.1,pmos,0.1385,0.0144,65,23.6615,4.2706
1.2,nmos,-0.2335,0.0356,59,-33.0069,4.4124
1.2,pmos,0.2059,0.2202,65,39.2715,40.0267
