temperature,device_label,chip3,chip4,chip5,avg_vth_V,std_vth_V
85K,nmos1,,0.643953,0.633858,0.6389055,0.0050474999999999826
115K,nmos1,,0.641268,0.624923,0.6330955,0.008172499999999971
140K,nmos1,,0.633082,0.6173,0.625191,0.007891000000000037
185K,nmos1,,0.616428,0.60084,0.608634,0.007793999999999968
220K,nmos1,,0.601847,0.582254,0.5920505,0.009796499999999986
295K,nmos1,,0.561482,0.547198,0.55434,0.007142000000000037
85K,nmos2,,0.685375,0.673981,0.679678,0.005696999999999952
115K,nmos2,0.685637,0.678984,0.666661,0.677094,0.00786134929046327
140K,nmos2,,0.671206,0.658397,0.6648015,0.00640449999999998
185K,nmos2,,0.652824,0.639715,0.6462695,0.006554499999999963
220K,nmos2,,0.637841,0.629687,0.633764,0.004076999999999997
295K,nmos2,0.589883,0.588609,0.587175,0.5885556666666667,0.0011061794108050147
85K,nmos3,,0.641853,0.65061,0.6462315000000001,0.004378500000000007
115K,nmos3,0.630782,0.635549,0.643065,0.6364653333333333,0.005056202285861959
140K,nmos3,0.620433,0.62626,0.634016,0.626903,0.005563845133238946
185K,nmos3,0.601865,0.608913,0.615137,0.6086383333333333,0.005421751090643055
220K,nmos3,,0.592904,0.599817,0.5963605000000001,0.003456500000000029
295K,nmos3,0.541996,0.551571,0.560281,0.5512826666666667,0.007467603735841608
85K,nmos4,,0.663095,0.66519,0.6641425,0.001047499999999979
115K,nmos4,0.653801,0.65296,0.654027,0.653596,0.0004590867746588607
140K,nmos4,0.644153,0.642564,0.644419,0.643712,0.0008189900284292991
185K,nmos4,0.620054,0.619682,0.620657,0.620131,0.00040174867765808357
220K,nmos4,0.603249,0.599264,0.600426,0.6009796666666668,0.0016733133464941889
295K,nmos4,0.546488,0.549689,0.555642,0.5506063333333333,0.003792980739324795
85K,pmos1,-0.662934,-0.64486,-0.664974,-0.6575893333333332,0.009039444869877547
115K,pmos1,-0.644679,-0.626932,-0.644295,-0.6386353333333333,0.00827699109311802
140K,pmos1,-0.625508,-0.611608,-0.626362,-0.6211593333333333,0.0067628054007851214
185K,pmos1,-0.590803,-0.575443,-0.586247,-0.5841643333333334,0.006441300351809548
220K,pmos1,-0.593292,-0.550812,-0.564298,-0.5694673333333333,0.017723413992669603
295K,pmos1,-0.518625,-0.498587,-0.507992,-0.5084013333333334,0.008185598179458577
85K,pmos2,-0.681018,-0.684741,-0.687231,-0.6843300000000001,0.002553041715287875
115K,pmos2,-0.660305,-0.66423,-0.667726,-0.664087,0.0030312975219642644
140K,pmos2,-0.641984,-0.64963,-0.652986,-0.6482,0.004603960324184665
185K,pmos2,-0.604467,-0.614738,-0.61493,-0.6113783333333334,0.004887679226608707
220K,pmos2,-0.580726,-0.588229,-0.586797,-0.5852506666666667,0.0032523952540995096
295K,pmos2,-0.516545,-0.529388,-0.529521,-0.5251513333333334,0.006085838881279119
85K,pmos3,-0.664813,-0.619132,-0.621357,-0.6351006666666668,0.021029419398124652
115K,pmos3,,-0.59879,-0.601123,-0.5999565,0.0011664999999999592
140K,pmos3,,-0.584018,-0.582464,-0.583241,0.0007770000000000277
185K,pmos3,,-0.547937,-0.549695,-0.548816,0.0008790000000000187
220K,pmos3,,-0.521965,-0.522697,-0.522331,0.00036599999999997745
295K,pmos3,,-0.466953,-0.466713,-0.466833,0.00012000000000000899
85K,pmos4,,-0.66412,-0.665573,-0.6648465,0.0007264999999999633
115K,pmos4,-0.636667,-0.634579,-0.636578,-0.6359413333333334,0.0009640001152604706
140K,pmos4,-0.61241,-0.6158,-0.615109,-0.6144396666666667,0.0014626529169818664
185K,pmos4,-0.570986,-0.571164,-0.575222,-0.5724573333333334,0.0019562646946555003
220K,pmos4,-0.545207,-0.541504,-0.54413,-0.5436136666666667,0.0015552068101131248
295K,pmos4,,-0.485266,-0.483462,-0.484364,0.0009019999999999861
